  TimeWindow  Iteration  ResRel(Displacement)  ResRel(Velocity)  ResAbs(Traction)  ResRel(Displacement)  ResRel(Velocity)  ResAbs(Traction)
    69      19   1.56270715e-01   2.25390811e-01   7.39496046e-07   1.18028436e+00   1.18028436e+00   4.05225360e-04
    69      20   2.63191581e-01   3.56781532e-01   1.11899658e-06   1.13842168e+00   1.13842168e+00   7.82698264e-04
    69      21   2.05341896e-01   3.13606828e-01   6.35242335e-07   1.15251229e+00   1.15251229e+00   4.25798017e-04
    69      22   1.93580052e-01   1.06635870e-01   3.02239663e-07   1.22149607e+00   1.22149607e+00   1.41975024e-04
    69      23   2.70843810e-01   2.12576221e-01   1.74778673e-07   1.28242706e+00   1.28242706e+00   7.04537773e-06
    69      24   2.79419949e-01   1.87686289e-01   1.12550983e-08   1.33321162e+00   1.33321162e+00   6.81013636e-05
    69      25   7.16619375e-02   4.16235014e-02   2.20453957e-09   1.27521058e+00   1.27521058e+00   7.73219579e-06
    70       1   1.01122087e+00   1.26442738e+00   1.28430462e-05   5.00000000e-01   5.00000000e-01   2.38973837e-03
    70       2   1.55113089e+00   1.51853933e+00   1.93409858e-06   1.19139057e+00   1.17050188e+00   1.91571729e-03
    70       3   1.30103827e+00   1.27400854e+00   1.29893086e-06   1.21586539e+00   1.16303695e+00   1.45928834e-03
    70       4   1.52992147e+00   1.63913727e+00   8.35981894e-07   2.01025146e-01   6.76227110e-03   5.43647701e-04
    70       5   1.72433196e-01   1.75355834e-01   4.44481264e-07   1.18160994e+00   1.35939881e+00   7.54560409e-04
    70       6   1.87075428e-01   1.91897362e-01   2.58572921e-08   1.17545383e+00   1.48388662e+00   2.99368785e-04
    70       7   2.50388294e-01   2.58491678e-01   3.54855629e-07   1.15756026e+00   1.56298783e+00   2.30855788e-04
    70       8   1.46545164e-01   1.51510900e-01   2.71836284e-07   1.16266161e+00   1.60292775e+00   1.54708295e-04
    70       9   2.81576749e-02   2.91339482e-02   1.08922525e-07   1.17730539e+00   1.66846272e+00   2.41346718e-05
