  TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns
   298    1818       2       1      12       2       0
   299    1820       2       1      12       1       0
   300    1822       2       1      13       0       0
   301    1824       2       1      13       1       0
   302    1826       2       1      13       1       0
   303    1828       2       1      12       2       0
   304    1830       2       1      12       1       0
   305    1832       2       1      13       0       0
   306    1834       2       1      12       2       0
   307    1836       2       1      12       1       0
   308    1838       2       1      12       1       0
   309    1840       2       1      12       1       0
   310    1842       2       1      12       1       0
   311    1844       2       1      12       1       0
   312    1846       2       1      12       1       0
   313    1848       2       1      13       0       0
   314    1850       2       1      12       2       0
   315    1852       2       1      13       0       0
   316    1854       2       1      13       1       0
   317    1856       2       1      12       2       0
   318    1858       2       1      12       1       0
   319    1860       2       1      12       1       0
   320    1862       2       1      12       1       0
   321    1864       2       1      12       1       0
   322    1866       2       1      12       1       0
   323    1868       2       1      12       1       0
   324    1870       2       1      13       0       0
   325    1872       2       1      12       2       0
   326    1874       2       1      12       1       0
   327    1876       2       1      12       1       0
   328    1878       2       1      12       1       0
   329    1880       2       1      12       1       0
   330    1882       2       1      12       1       0
   331    1884       2       1      12       1       0
   332    1886       2       1      12       1       0
   333    1888       2       1      12       1       0
   334    1890       2       1      12       1       0
   335    1892       2       1      12       1       0
   336    1894       2       1      13       0       0
   337    1896       2       1      13       1       0
   338    1898       2       1      12       2       0
   339    1900       2       1      12       1       0
   340    1902       2       1      13       0       0
   341    1904       2       1      14       0       0
   342    1906       2       1      14       1       0
   343    1908       2       1      14       1       0
   344    1910       2       1      14       1       0
   345    1912       2       1      14       1       0
   346    1914       2       1      14       1       0
   347    1916       2       1      14       1       0
   348    1918       2       1      14       1       0
   349    1920       2       1      14       1       0
   350    1922       2       1      13       2       0
   351    1924       2       1      13       1       0
   352    1926       2       1      13       1       0
   353    1928       2       1      13       1       0
   354    1930       2       1      13       1       0
   355    1932       2       1      13       1       0
   356    1934       2       1      13       1       0
   357    1936       2       1      14       0       0
   358    1938       2       1      14       1       0
   359    1940       2       1      14       1       0
   360    1942       2       1      13       2       0
   361    1944       2       1      13       1       0
   362    1946       2       1      14       0       0
   363    1948       2       1      14       1       0
   364    1950       2       1      14       1       0
